business_id,name,address,city,state,postal_code,data,score
1-290,Barnwell Elementary School,9425 BARNWELL,ALPHARETTA,GA,30022,2015/03/23,100
FSP-060-000721,Barrelhouse,22 5TH ST NW STE B,ATLANTA,GA,30308,2015/05/13,98
FSP-060-000721,Barrelhouse,22 5TH ST NW STE B,ATLANTA,GA,30308,2015/05/12,78
1-305,Bear Creek Middle School,7415 HERNDON,FAIRBURN,GA,30312,2015/03/26,95
1-23418,Beecher Hills Elementary School,2257 BOLLINGBROOK DR SW,ATLANTA,GA,30311,2015/03/25,100
2-31654,Beef Grill Restaurant,8599 ROSWELL RD STE C-2,ROSWELL,GA,30350,2015/01/02,85
FSP-060-001262,Ben Hill Grill,3772 CAMPBELLTON RD STE 2,ATLANTA,GA,30331,2015/03/30,86
1-322,Ben Hill United Church,2099 FAIRBURN RD,ATLANTA,GA,30331,2015/04/09,92
1-23199,Benihana,2365 MANSELL RD,ALPHARETTA,GA,30022,2015/04/06,100
1-20743,Benihana,229 PEACHTREE ST,ATLANTA,GA,30303,2015/05/21,86
1-20743,Benihana,229 PEACHTREE ST,ATLANTA,GA,30303,2015/05/21,86
1-20743,Benihana,229 PEACHTREE ST,ATLANTA,GA,30303,2015/05/12,70
1-23358,Benteen Elementary School,200 CASANOVA ST SE,ATLANTA,GA,30315,2015/04/23,96
FSP-060-000471,Benton House of Johns Creek,5050 KIMBALL BRIDGE RD,ALPHARETTA,GA,30005,2015/02/11,100
1-24694,Berean Christian Junior AcademyGAAA,401 HAMILTON E. HOLMES DR NW,ATLANTA,GA,30318,2015/03/30,95
1-32348,Best Academy,1890 DONALD L. HOLLOWELL PKWY,ATLANTA,GA,30318,2015/04/15,100
FSP-060-002804,Best Pizza & Wings,2818 CAMP CREEK PKWY,ATLANTA,GA,30337,2015/03/16,90
FSP-060-002042,Best Pizza Wings & Pasta,4508 WASHINGTON RD,ATLANTA,GA,30349,2015/01/16,81
FSP-060-002042,Best Pizza Wings & Pasta,4508 WASHINGTON RD,ATLANTA,GA,30349,2015/01/08,78
1-25289,Best Wings,2660 GODBY RD,COLLEGE PARK,GA,30349,2015/05/08,98
1-23329,Bethune Elementary School,220 NORTHSIDE DR NW,ATLANTA,GA,30310,2015/03/05,95
FSP-060-002424,BGR,264 19TH ST,ATLANTA,GA,30363,2015/05/19,95
FSP-060-001699,Bhojanic,3400 AROUND LENOX RD STE 201,ATLANTA,GA,30326,2015/04/13,95
FSP-060-001699,Bhojanic,3400 AROUND LENOX RD STE 201,ATLANTA,GA,30326,2015/04/13,95
FSP-060-001699,Bhojanic,3400 AROUND LENOX RD STE 201,ATLANTA,GA,30326,2015/04/10,77
FSP-060-001362,Bickford of Alpharetta,4125 NORTH POINT PKWY,ALPHARETTA,GA,30022,2015/02/02,91
FSP-060-001313,Bickford Of Buckhead,4804 ROSWELL RD,ATLANTA,GA,30342,2015/04/28,78
1-30597,Big Daddys Dish & Catering,5549 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2015/01/12,91
FSP-060-001879,Big Daddys Kitchen Atlanta,3085 CAMPBELLTON RD SW,ATLANTA,GA,30311,2015/05/13,92
FSP-060-001627,Big Kahuna,303 PEACHTREE CENTER AVE STE PCA-01,ATLANTA,GA,30303,2015/06/04,94
FSP-060-002807,Big Mikes Hot Fish And Jumbo Shrimp,1174 PRYOR ST,ATLANTA,GA,30315,2015/03/09,91
1-32344,Birmingham Falls Elementary School,14865 BIRMINGHAM HWY,MILTON,GA,30004,2015/03/23,100
1-32539,Bishoku,5920 ROSWELL RD STE B111,SANDY SPRINGS,GA,30328,2015/04/07,91
2-31749,Bistro 7 LLC,231 PEACHTREE ST NE STE B-71B,ATLANTA,GA,30303,2015/01/28,95
FSP-060-001720,BJ Roosters,2043 CHESHIRE BRIDGE,ATLANTA,GA,30324,2015/03/26,90
FSP-060-002682,Black Bear Tavern,1931 PEACHTREE RD NE,ATLANTA,GA,30309,2015/04/23,92
1-25051,Blakes On The Park Restaurant & Bar,227 10TH ST,ATLANTA,GA,30309,2015/04/23,100
1-15574,Blessed Trinity High School,11320 WOODSTOCK RD,ROSWELL,GA,30075,2015/03/31,100
1-23883,Blimpie,340 BOULEVARD NE,ATLANTA,GA,30312,2015/05/01,99
1-26268,Blimpies,6330 POWERS FERRY RD,ATLANTA,GA,30339,2015/03/31,88
1-403,Blimpies,1509 VIRGINIA AVE,ATLANTA,GA,30337,2015/02/12,78
1-15958,Blimpies,2350 CHESHIRE BRIDGE RD,ATLANTA,GA,30324,2015/04/22,100
1-401,Blimpies,5240 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2015/05/12,89
FSP-060-002218,Blimpies,1197 PEACHTREE ST NE STE 503,ATLANTA,GA,30361,2015/04/06,100
1-31682,BLT Steak,45 IVAN ALLEN BLVD,ATLANTA,GA,30308,2015/02/11,86
1-31682,BLT Steak,45 IVAN ALLEN BLVD,ATLANTA,GA,30308,2015/02/05,74
1-31684,BLT Steak  BanquetEmployee Kitchen,45 IVAN ALLEN BLVD,ATLANTA,GA,30308,2015/02/04,100
FSP-060-002334,Blue Ivory Bar,599 WHITEHALL ST,ATLANTA,GA,30303,2015/01/22,100
FSP-060-002333,Blue Ivory Kitchen,599 WHITEHALL ST,ATLANTA,GA,30303,2015/01/22,96
1-411,Blue Ridge Grill,1261 WEST PACES FERRY RD,ATLANTA,GA,30327,2015/01/29,99
1-32010,Body Sculpting Center World Changers,2500 BURDETT RD,COLLEGE PARK,GA,30349,2015/05/28,99
1-31583,Bojangles,5140 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2015/05/13,86
1-22231,Bojangles Chicken Restaurant,9135 ROOSEVELT HWY,PALMETTO,GA,30268,2015/04/16,90
1-32645,Bole Ethiopian Restaurant Inc,1650 VIRGINIA AVE,COLLEGE PARK,GA,30337,2015/02/12,85
1-23444,Bolton Academy,2268 ADAMS DR,ATLANTA,GA,30318,2015/05/05,96
FSP-060-001304,Bon Appetit  Kappa,1600 PEACHTREE ST NE,ATLANTA,GA,30309,2015/05/26,100
FSP-060-001292,Bon Appetit  The Hub,1600 PEACHTREE ST NE,ATLANTA,GA,30309,2015/05/26,100
1-421,Bones Restaurant,3130 PIEDMONT RD,ATLANTA,GA,30305,2015/04/09,100
FSP-060-001680,Bonterra Nursing and Rehab Center,2801 FELTON DR,ATLANTA,GA,30344,2015/04/10,100
1-31459,Booker T Washington High School,45 WHITEHOUSE DR,ATLANTA,GA,30303,2015/03/11,100
1-32062,Boston Fish Supreme,4517 CAMPBELLTON RD SW,ATLANTA,GA,30331,2015/06/04,95
FSP-060-000139,Boston Fish Supreme,757 CLEVELAND AVE,ATLANTA,GA,30315,2015/03/03,93
FSP-060-002275,Boston Fish Supreme Buffalo Wing ExpressFIB,4155 FULTON INDUSTRIAL BLVD,ATLANTA,GA,30336,2015/04/07,70
2-31777,Bourbon Bar,3315 PEACHTREE RD,ATLANTA,GA,30326,2015/04/15,97
1-23746,Boyd Elementary,1891 JOHNSON NW,ATLANTA,GA,30318,2015/05/05,92
FSP-060-000505,Branded Concessions Cart 1,285 ANDREW YOUNG INTERNATIONAL,ATLANTA,GA,30313,2015/03/31,99
1-23410,Brandon Elementary School,2741 HOWELL MILL RD NW,ATLANTA,GA,30327,2015/04/17,100
1-429,Brandon Hall School,1701 BRANDON HALL DR,ATLANTA,GA,30338,2015/03/17,95
1-32581,Brandon Primary Elementary School,2845 MARGARET MITCHELL RD,ATLANTA,GA,30327,2015/04/17,100
FSP-060-000017,Breadwinner Bakery & Cafe,220 SANDY SPRINGS CIR STE 195,ATLANTA,GA,30328,2015/01/05,90
1-31015,Brick House Pizza,580 E. CROSSVILE RD STE 420,ROSWELL,GA,30076,2015/06/02,99
1-30447,Bricktops,3280 PEACHTREE RD STE 100,ATLANTA,GA,30305,2015/02/05,85
FSP-060-000538,Briza,866 WEST PEACHTREE ST,ATLANTA,GA,30308,2015/01/28,90
FSP-060-001073,Broadway Diner,620 PEACHTREE ST,ATLANTA,GA,30308,2015/06/01,98
FSP-060-001073,Broadway Diner,620 PEACHTREE ST,ATLANTA,GA,30308,2015/05/28,74
1-28703,Brooklyn Cafe,220 SANDY SPRINGS CIR STE 101,ATLANTA,GA,30328,2015/04/09,89
1-31382,Brooklyn Joes,13065 HIGHWAY 9 N STE 110,ALPHARETTA,GA,30004,2015/05/18,97
1-449,Brookview Elementary School,3250 HAMMARKSKJOLD DR,EAST POINT,GA,30344,2015/03/18,97
1-23419,Brown Middle School,765 PEEPLES ST SW,ATLANTA,GA,30310,2015/04/20,96
1-25706,Brusters Ice Cream,675 WEST CROSSVILLE STE 144,ROSWELL,GA,30075,2015/06/02,90
FSP-060-001677,Buckhead Baptist Church,4100 ROSWELL RD NE,ATLANTA,GA,30342,2015/05/14,82
1-31833,Buckhead Pizza III,3324 PEACHTREE RD STE B,ATLANTA,GA,30326,2015/01/27,100
FSP-060-001641,Buffalo China,461 MORELAND AVE,ATLANTA,GA,30316,2015/04/21,91
1-23821,Bunche Middle School,1925 NISKEY LAKE RD SW,ATLANTA,GA,30331,2015/05/08,98
FSP-060-002418,Burger Fi,77 12TH ST STE 7,ATLANTA,GA,30309,2015/05/07,94
1-29891,Burger King,860 WOODSTOCK RD,ROSWELL,GA,30075,2015/01/13,93
FSP-060-001563,Burger King,222 HAMMOND DR,ATLANTA,GA,30328,2015/01/14,100
1-32689,Burger King  2430,5068 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2015/04/16,87
1-32689,Burger King  2430,5068 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2015/01/29,87
FSP-060-001565,Burger King  2745,4636 JONESBORO RD,UNION CITY,GA,30291,2015/04/07,89
FSP-060-001561,Burger King  3843,1122 NORTHSIDE DR,ATLANTA,GA,30318,2015/04/14,99
1-501,Burger King 11073,5025 ABBOTTS BRIDGE RD,ALPHARETTA,GA,30005,2015/05/12,100
1-501,Burger King 11073,5025 ABBOTTS BRIDGE RD,ALPHARETTA,GA,30005,2015/01/15,94
1-32681,Burger King 3641,2701 METROPOLITAN PKWY,ATLANTA,GA,30315,2015/05/18,96
1-32681,Burger King 3641,2701 METROPOLITAN PKWY,ATLANTA,GA,30315,2015/05/11,79
FSP-060-002605,Burn Lounge,3461 ROOSEVELT HWY STE 15,ATLANTA,GA,30349,2015/03/27,100
FSP-060-001507,Buttermilk Kitchen,4225 ROSWELL RD NE,ATLANTA,GA,30342,2015/05/14,97
FSP-060-001745,C J Buffalo House,3565 MARTIN LUTHER KING JR DR,ATLANTA,GA,30331,2015/06/05,85
1-514,CH Gullatt Elementary School,6110 DODSON DR,UNION CITY,GA,30291,2015/03/12,95
1-31698,Cafe 10  20Th Floor,10 PEACHTREE PLZ,ATLANTA,GA,30309,2015/04/17,100
1-519,Cafe 1475,1475 PEACHTREE ST NE,ATLANTA,GA,30309,2015/05/18,99
FSP-060-002266,Cafe 500,500 NORTHRIDGE ROAD,ATLANTA,GA,30350,2015/01/26,96
